region,deaths
Afghanistan,4323,
Afghanistan-Tajikistan,4000,
Algeria,6250,
Arabia,2800,
Argentina,8000,
Armenia,25000,
Armenia-Azerbaijan,2800,
Central Asia,12000,
Chile,33537,
China,564300,
Colombia,2185,
Colombia-Ecuador,1000,
Ecuador,6050,
El Salvador,1000,
Ex-Yugoslavia,1100,
Guatemala,25000,
India,32274,
India-Nepal,11700,
Indonesia,2500,
Iran,107206,
Iran-Turkey,5000,
Italy,109749,
Japan,162594,
Mexico,9500,
Morocco,12000,
New Guinea,2605,
Nicaragua,8500,
Pakistan,39300,
Pakistan-Afghanistan,1200,
Peru,70140,
Philippines,9621,
Romania,2500,
Russia,6689,
Taiwan,6920,
Tajikistan,12000,
Turkey,83635,
Turkmenistan,110000,
United States,3438
