ISO3V10,Country_Standard,EVI,HAZARDS,RESISTANCE,DAMAGE,CCEVI,ENDEVI,HHEVI,AFEVI,WATEVI,CCDEVI,CBDEVI,WINDEVI,DRYEVI,WETEVI,HOTEVI,COLDEVI,SSTEVI,VOLCANOEVI,EARTHQKEVI,TSUNAMIEVI,SLIDESEVI,LANDEVI,DISPEVI,ISOLEVI,RELIEFEVI,LOWEVI,BORDEVI,IMBALEVI,OPENEVI,MIGEVI,ENDEMEVI,INTROEVI,ENDANGEVI,EXTINCTEVI,VEGEVI,VEGLOEVI,FRAGEVI,DEGEVI,RESRVEVI,MPAEVI,FARMEVI,FERTLEVI,PESTCDEVI,BIOTECHEVI,PRDOFEVI,FSHEFEVI,WATEREVI,SULPHEVI,WASTEEVI,TRTMNTEVI,INDUSTEVI,SPILLSEVI,MININGEVI,SANEVI,VEHEVI,POPDNEVI,POPGRTHEVI,TOUREVI,CSTPOPEVI,AGRMTEVI,CONFLTEVI,WIND,DRY,WET,HOT,COLD,SST,VOLCANO,EARTHQK,TSUNAMI,SLIDES,LAND,DISP,ISOL,RELIEF,LOW,BORD,IMBAL,OPEN,MIG,ENDEM,INTRO,ENDANG,EXTINCT,VEG,VEGLO,FRAG,DEG,RESRV,MPA,FARM,FERTL,PESTCD,BIOTECH,PRDOF,FSHEF,WATER,SULPH,WASTE,TRTMNT,INDUST,SPILLS,MINING,SAN,VEH,POPDN,POPGRTH,TOUR,CSTPOP,AGRMT,CONFLT
PHL,Philippines,402.128,4.172,2.875,4.727,3.769,5,5,5,6,4,4,2,5,7,1,1,3,6,6,2,7,2,4,5,2,1,2,1,7,1,6,2,3,2,6,7,3,7,5,5,7,4,,5,6,4,2,5,,,4,1,1,7,2,7,7,1,7,1,7,194.998,-57.6,104.2,4.711,5.088,6,714,6,0.12,23,"298,170",113.694,700,"2,954",0,2,0.099,169.289,0.091,"13,482.24",0.154,1.298,0,6,-4,0.671,79,5,3.28,"3,529.42","2,618.10",,1,"33,548.42",29.23,12,2.112,,,21.901,0,0,64.14,2.566,256.561,2.072,7.244,257,80,17
IRN,Iran (Islamic Republic of),312.5,3.233,2.625,3.182,3.385,3,4,3,4,4,3,5,3,2,4,3,6,1,5,1,3,1,1,1,4,3,7,1,4,1,3,2,2,1,6,6,1,7,4,5,1,3,6,1,4,3,4,3,,,4,1,5,3,1,3,4,1,2,1,7,414.514,-26.8,8,140.781,72.533,13,0,5,0,1,"1,622,000",6.985,0,"5,699",17,11,0.175,10.756,0.049,25.277,0.018,0.035,0,3,-2,0.103,58,5,4.17,0.295,657.83,22.498,0,"188,500.48",18.4,54,0.761,,,43.545,0,77,7.931,1.252,41.74,0.776,0.635,27,66,12
VUT,Vanuatu,280,2.739,4.125,1.7,3.25,3,1,2,4,3,3,4,4,5,1,1,2,7,5,3,1,4,5,7,2,6,3,1,,1,5,2,3,2,4,,1,,5,5,,1,2,1,3,,,1,,,,1,1,,1,1,6,1,1,2,1,291.015,-31.2,28.8,1.87,3.64,5,"10,328",5,1.19,0,"12,200",207.213,"1,800","1,877",70,4,0.065,,0.738,"1,065.57",0.328,1.803,0,40,,0.088,,2,0.02,,8.197,0.001,0,"591,929.58",,,0.06,,,,0,0,,0.193,16.73,1.736,4.344,15,55,0
JPN,Japan,389.362,4.379,2.875,3.636,4.154,5,4,4,4,3,3,5,5,7,3,2,4,7,4,2,6,2,4,4,3,1,2,1,7,1,6,2,2,2,3,5,7,1,4,5,7,5,2,7,7,2,3,6,,,6,3,1,,7,7,3,1,7,1,1,381.175,-70.2,62.2,79.059,34.709,9,"3,567",4,0.93,8,"376,520",77.074,180,"3,780",0,2,0.171,"1,144.94",0.165,"5,686.29",0.183,0.428,0,58,0,3.071,0,7,1.83,"2,199.77","5,019.12",0.171,76,"18,374.43",9.9,21,5.742,,,112.993,68.92,0,,125.529,336.54,0.175,11.775,324,114,0
IDN,Indonesia,316.327,3.065,3.25,3.545,2.769,3,3,3,4,3,3,3,1,2,1,1,3,6,4,2,5,1,3,2,4,5,4,2,7,1,6,2,2,2,2,5,1,6,3,4,6,4,3,1,4,5,1,2,1,,4,1,1,6,1,5,6,1,5,1,7,236.799,-6.4,9.6,2.458,8.987,6,963,4,0.22,4,"1,811,570",54.103,30,"5,030",49,5,-0.002,34.683,0.02,"10,239.74",0.023,0.421,0,65,-1,0.191,37,10,6.45,403.593,"1,573.67",1.505,0,"181,025.30",49.05,3,0.44,0.009,,27.884,0,0,48.005,1.405,117.085,1.625,2.702,112,68,19
SLB,Solomon Islands,281.395,2.92,4.125,1.455,2.583,2,1,2,3,3,4,4,1,3,1,1,3,6,4,3,1,3,5,7,2,6,3,1,4,1,6,2,4,2,1,5,1,1,7,5,5,1,,1,4,1,,1,,,,1,1,,,1,7,1,1,2,1,276.954,-5,13.8,4.122,9.8,5,"1,036",4,1.01,0,"27,990",352.983,"1,950","2,447",71,3,0.275,10.432,0.536,"4,072.88",0.143,2.501,0,94,0,0.049,0,0,0.32,219.078,0,,0,"425,067.25",5.19,,0.033,,,,0,0,,,15.863,3.056,0.607,16,60,0
TON,Tonga,400,3.273,5,5.125,4.545,4,3,4,6,4,5,4,6,7,1,1,3,7,3,5,1,5,6,7,1,7,4,4,,3,7,7,7,7,,,,,5,,1,4,,1,2,,,2,,,,1,1,,4,5,6,3,5,4,1,347.447,-105,65.8,1.147,7.673,5,"80,780",3,7.16,0,718,583.565,"3,200","1,033",100,5,-0.059,,5.571,"157,381.62",23.677,13.928,1,,,,,1,,1.086,"2,863.51",,0,"2,110,616.31",,,0.601,,,,0,0,,6.648,141.643,1.863,43.175,136,36,0
TUR,Turkey,351.064,3.586,3.25,3.545,3.769,3,4,4,5,4,3,3,4,6,5,3,6,1,3,2,1,2,2,1,4,3,7,1,7,1,6,2,2,1,5,4,3,7,5,4,,4,6,1,6,1,2,5,,,3,1,7,4,3,4,5,1,3,1,7,265.612,-44.2,41.6,157.715,81.549,13,3,3,0.12,0,"769,630",14.017,0,"5,166",24,15,0.167,73.459,0.09,"3,491.29",0.057,0.105,0,11,0,0.501,99,1,8.47,,"2,500.80",43.385,0,"53,838.89",4.13,18,2.301,,,12.066,0,528,17.305,4.759,86.523,1.26,11.573,50,90,11
CHN,China,359.574,3.69,3.375,3.636,3.846,3,5,4,5,4,3,2,4,5,5,3,5,1,2,1,3,1,1,1,7,4,7,3,5,1,5,2,2,2,4,5,1,6,4,5,7,5,,1,7,7,2,6,1,,4,,3,7,1,5,4,1,5,1,5,200.279,-42.8,31,210.913,70.823,10,0,2,0,1,"9,326,410",5.593,0,"8,696",37,19,-0.033,17.88,0.01,"1,972.03",0.004,0.041,0,22,0,0.164,35,6,0.77,"4,610.50","3,846.25",,0,"14,117.83",402.31,19,3.704,1.061,,48.63,,9,104.107,0.411,136.983,0.894,2.979,102,81,1
MEX,Mexico,306.383,3.448,2.875,2.182,3,3,3,4,4,4,3,4,5,6,2,2,2,3,2,2,3,1,2,1,4,5,3,1,7,1,6,2,2,2,2,5,1,6,5,2,6,3,,5,5,2,2,4,,1,4,3,1,4,3,3,6,,1,1,1,294.643,-61.4,34,45.013,41.274,4,50,2,0.34,1,"1,908,690",14.729,0,"5,710",54,4,0.028,64.14,0.04,"6,964.99",0.024,0.22,0,63,-1,0.167,44,3,15.46,675.527,772.362,,3,"101,896.93",10.82,19,1.179,,100,45.125,84.17,0,14.506,4.818,51.806,1.524,,15,111,0
