id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,Latitude,Longitude
1099,Chile,CHL,155,1995,3687,Chanaral,2,Atacama,Chanaral,Chanaral,Chanaral,0,NA,earthquake,1995-0171,-26.22121912,-69.49489839
1099,Chile,CHL,155,1995,3709,Diego De Almagro,3,Atacama,Chanaral,Diego De Almagro,Diego de Almagro,0,NA,earthquake,1995-0171,-26.18831384,-69.25727705
2013,Ecuador,ECU,130,1996,6076,La Merced,3,Pichincha,Quito,La Merced,La Merced,0,NA,earthquake,1996-0062,-0.287552725,-78.38982644
2013,Ecuador,ECU,130,1996,6130,San Antonio,3,Pichincha,Quito,San Antonio,San Antonio,0,NA,earthquake,1996-0062,-2.591325968,-79.22447096
2015,Ecuador,ECU,130,1998,6009,Bahia De Caraquez,3,Manabi,Sucre,Bahia De Caraquez,Bahia de Caraquez,0,NA,earthquake,1998-0353,-0.685155661,-80.40157971
2015,Ecuador,ECU,130,1998,6022,Charapoto,3,Manabi,Sucre,Charapoto,Charapoto,0,NA,earthquake,1998-0353,-0.781936823,-80.44364531
2374,Greece,GRC,350,1968,6940,Agios Efstratios,3,Aegean,North Aegean,Agios Efstratios,Agios Efstratios,0,NA,earthquake,1968-0032,39.51423464,25.00682689
2374,Greece,GRC,350,1968,6989,Lemnos,3,Aegean,North Aegean,Lemnos,Limnos,0,NA,earthquake,1968-0032,39.91440852,25.2255903
2391,Greece,GRC,350,1995,6974,Grevena,3,Epirus And Western Macedonia,West Macedonia,Grevena,Grevena-Kozani,0,NA,earthquake,1995-0085,40.04281357,21.36192821
2391,Greece,GRC,350,1995,6985,Kozani,3,Epirus And Western Macedonia,West Macedonia,Kozani,Kozani,0,NA,earthquake,1995-0085,40.30928976,21.83193968
2396,Greece,GRC,350,1999,6971,Elefsina,3,Attica,Attica,Elefsina,Elefsina,0,NA,earthquake,1999-0302,38.0818383,23.53245393
2396,Greece,GRC,350,1999,7010,Peristeri,3,Attica,Attica,Peristeri,Peristeri,0,NA,earthquake,1999-0302,38.01188262,23.68833905
2396,Greece,GRC,350,1999,7011,Petroupoli,3,Attica,Attica,Petroupoli,Petroupoli,0,NA,earthquake,1999-0302,38.04160401,23.6736876
4448,Nepal,NPL,790,1988,14160,Dhankuta,3,East,Koshi,Dhankuta,Dhankuta,0,NA,earthquake,1988-0383,26.99110971,87.33355772
4448,Nepal,NPL,790,1988,14190,Ilam,3,East,Mechi,Ilam,Ilam,0,NA,earthquake,1988-0383,26.8810675,87.90348445
4448,Nepal,NPL,790,1988,14264,Morang,3,East,Koshi,Morang,Morang,0,NA,earthquake,1988-0383,26.61669552,87.47181543
4448,Nepal,NPL,790,1988,14292,Panchthar,3,East,Mechi,Panchthar,Panchthar,0,NA,earthquake,1988-0383,27.11337157,87.77651847
4448,Nepal,NPL,790,1988,14395,Terhathum,3,East,Koshi,Terhathum,Terathum,0,NA,earthquake,1988-0383,27.15437248,87.55107653
1099,Chile,CHL,155,1995,3699,Copiapo,3,Atacama,Copiapo,Copiapo,Copiapo,0,NA,earthquake,1995-0171,-27.31083434,-69.75745575
2396,Greece,GRC,350,1999,6942,Athens,3,Attica,Attica,Athens,Haidari,0,NA,earthquake,1999-0302,37.98627768,23.73434117
3439,Italy,ITA,325,1984,10364,Assisi,3,Umbria,Perugia,Assisi,Assisi,0,NA,earthquake,1984-0038,43.08711524,12.62617111
3439,Italy,ITA,325,1984,10428,Gubbio,3,Umbria,Perugia,Gubbio,Gubbio,0,NA,earthquake,1984-0038,43.33174618,12.54754695
3441,Italy,ITA,325,1984,10354,Adrano,3,Sicily,Catania,Adrano,Mt Etna,0,NA,earthquake,1984-0274,37.69573249,14.85737864
3441,Italy,ITA,325,1984,10395,Catania,3,Sicily,Catania,Catania,Catania,0,NA,earthquake,1984-0274,37.44306509,15.03625581
1099,Chile,CHL,155,1995,3682,Caldera,3,Atacama,Copiapo,Caldera,Caldera,0,NA,earthquake,1995-0171,-27.2862012,-70.71313794
14,Afghanistan,AFG,700,1994,77,Char Bolak,2,Balkh,Char Bolak,NA,Balkh,0,NA,earthquake,1994-0057,36.8298296,66.61709276
