ISO3V10,Country_Standard,EVI,HAZARDS,RESISTANCE,DAMAGE,CCEVI,ENDEVI,HHEVI,AFEVI,WATEVI,CCDEVI,CBDEVI,WINDEVI,DRYEVI,WETEVI,HOTEVI,COLDEVI,SSTEVI,VOLCANOEVI,EARTHQKEVI,TSUNAMIEVI,SLIDESEVI,LANDEVI,DISPEVI,ISOLEVI,RELIEFEVI,LOWEVI,BORDEVI,IMBALEVI,OPENEVI,MIGEVI,ENDEMEVI,INTROEVI,ENDANGEVI,EXTINCTEVI,VEGEVI,VEGLOEVI,FRAGEVI,DEGEVI,RESRVEVI,MPAEVI,FARMEVI,FERTLEVI,PESTCDEVI,BIOTECHEVI,PRDOFEVI,FSHEFEVI,WATEREVI,SULPHEVI,WASTEEVI,TRTMNTEVI,INDUSTEVI,SPILLSEVI,MININGEVI,SANEVI,VEHEVI,POPDNEVI,POPGRTHEVI,TOUREVI,CSTPOPEVI,AGRMTEVI,CONFLTEVI,WIND,DRY,WET,HOT,COLD,SST,VOLCANO,EARTHQK,TSUNAMI,SLIDES,LAND,DISP,ISOL,RELIEF,LOW,BORD,IMBAL,OPEN,MIG,ENDEM,INTRO,ENDANG,EXTINCT,VEG,VEGLO,FRAG,DEG,RESRV,MPA,FARM,FERTL,PESTCD,BIOTECH,PRDOF,FSHEF,WATER,SULPH,WASTE,TRTMNT,INDUST,SPILLS,MINING,SAN,VEH,POPDN,POPGRTH,TOUR,CSTPOP,AGRMT,CONFLT
ASM,American Samoa,446.154,3.308,5.286,6.143,4.875,4,6,5,5,4,6,,7,2,,,3,1,1,7,,6,6,7,1,7,4,7,,6,,7,7,7,,,,,,,7,,,1,1,,,6,,,,1,1,,,7,,5,,,1,,-451.4,6.2,,,5,0,0,17.24,,199,582.915,"4,300",966,100,5,-0.493,,20.101,,35.176,65.327,5,,,,,,,"5,646.21",,,0,"5,531,201.70",,,4.623,,,,0,0,,,308.543,,105.528,,,0
SGP,Singapore,428.261,3.828,4.5,5.7,4.75,3,4,5,5,4,5,1,5,7,1,1,4,1,1,1,1,5,6,2,1,7,2,7,7,7,6,7,7,1,6,4,7,,5,5,7,5,,1,5,1,,7,,1,7,7,1,1,7,7,7,7,7,3,1,125.21,-54.4,105.4,0.719,0,7,0,0,0,0,610,439.344,5,166,100,2,-0.11,"236,340.98",45.902,"4,918.03",63.934,114.754,0,3,0,5.026,,5,0.25,"32,704.92","5,322.95",,0,"70,703.57",2.28,,685.918,,100,373.618,"3,731.34",0,0,701.705,"5,847.54",3.582,"11,600.00","5,848",49,0
NRU,Nauru,421.053,3.591,4.875,5.444,5.083,3,3,5,5,4,5,2,7,7,1,1,3,1,1,1,1,7,7,7,1,7,2,7,,7,1,7,7,1,5,,,,7,,7,1,,1,3,,,7,,,,1,7,1,7,7,7,,7,5,1,178.194,-249.8,222.6,2.034,0,6,0,0,0,0,21,"1,428.57","2,800",61,100,2,-0.519,,190.476,0,47.619,95.238,0,17,,,,0,,"11,200.50",0,,0,"1,149,965.44",,,22.685,,,,0,"14,171",0,52.143,576.19,2.051,,472,25,0
GLP,Guadeloupe,412,3.417,4.429,5.429,4.875,3,4,5,6,5,5,,5,7,,,2,1,1,1,1,5,5,5,1,7,3,7,,5,,2,7,7,,,,,,,7,,,1,5,,,4,,,,,6,,,7,,,,,1,,-58.2,50,,,4,0,0,0,0,"1,706",185.346,518,"1,484",100,3,-0.126,,13.482,,0.586,11.137,4,,,,,,,"1,416.75",,,0,"152,420.11",,,1.395,,,,,261,,,252.737,,,,,0
MAC,Macao Special Administrative Region of China,407.407,3.6,4.714,5,5.5,3,7,5,6,4,5,6,5,7,3,1,5,1,1,1,1,7,7,2,1,7,2,7,,7,,,7,1,,,,,,,,,,1,,,,7,,,,,1,,7,7,,7,,,1,573.054,-59.6,53.6,54.292,20.629,12,0,0,0,0,21,"1,920.95",2,127,100,1,-0.195,,"1,666.67",,,47.619,0,,,,,,,,,,0,,,,203.333,,,,,0,,"2,788.76","21,606.33",,"257,920.64",,,0
BRB,Barbados,402.857,3.2,4.75,5.75,4.3,3,5,5,5,4,5,5,4,7,1,1,1,1,1,1,1,5,5,4,1,7,3,7,,7,6,3,7,7,,,7,,,5,7,,,1,4,,,5,,,,1,7,,,7,3,7,,1,1,414.6,-37.4,72.8,0,0,4,0,0,0,0,430,225.581,350,336,100,3,-0.21,,39.535,"11,627.91",2.326,11.628,2,,,3.721,,,0.84,"7,835.60",,,0,"269,024.23",,,2.767,,,,0,"4,450",,,640.302,0.464,"1,068.61",,71,0
PHL,Philippines,402.128,4.172,2.875,4.727,3.769,5,5,5,6,4,4,2,5,7,1,1,3,6,6,2,7,2,4,5,2,1,2,1,7,1,6,2,3,2,6,7,3,7,5,5,7,4,,5,6,4,2,5,,,4,1,1,7,2,7,7,1,7,1,7,194.998,-57.6,104.2,4.711,5.088,6,714,6,0.12,23,"298,170",113.694,700,"2,954",0,2,0.099,169.289,0.091,"13,482.24",0.154,1.298,0,6,-4,0.671,79,5,3.28,"3,529.42","2,618.10",,1,"33,548.42",29.23,12,2.112,,,21.901,0,0,64.14,2.566,256.561,2.072,7.244,257,80,17
TON,Tonga,400,3.273,5,5.125,4.545,4,3,4,6,4,5,4,6,7,1,1,3,7,3,5,1,5,6,7,1,7,4,4,,3,7,7,7,7,,,,,5,,1,4,,1,2,,,2,,,,1,1,,4,5,6,3,5,4,1,347.447,-105,65.8,1.147,7.673,5,"80,780",3,7.16,0,718,583.565,"3,200","1,033",100,5,-0.059,,5.571,"157,381.62",23.677,13.928,1,,,,,1,,1.086,"2,863.51",,0,"2,110,616.31",,,0.601,,,,0,0,,6.648,141.643,1.863,43.175,136,36,0
VIR,United States Virgin Islands,395.652,2.8,5.286,4.714,5,4,7,4,6,5,5,,4,7,,,2,1,1,1,,6,6,7,1,7,3,1,,7,,3,7,7,,,,,,,,,,1,3,,,7,,,,,1,,,7,,,,,1,,-40.4,106.2,,,4,0,0,0,,349,538.682,"2,080",521,100,4,0.049,,343.84,,2.865,42.98,3,,,,,,,,,,0,"914,000.20",,,41.003,,,,,0,,,350.175,,,,,0
LCA,Saint Lucia,393.103,3.2,4.571,5.125,4.875,4,2,5,6,5,5,,6,6,,,2,1,1,1,7,5,5,4,1,7,3,1,,7,,5,7,7,,,6,,,,7,,,1,4,,,2,,,,1,1,,,7,5,,,3,1,,-81,39,,,4,0,0,0,"1,639",610,259.016,340,940,100,3,0.226,,36.066,,6.557,29.508,2,,,1.984,,,,"2,530.90",,,0,"290,728.00",,,0.508,,,,0,0,,,259.308,1.227,,,42,0
